key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESANV2024GUIDE_00853_NEWBORNINTERN_000_000,感謝過去，祝福當下，祈願未來……。<hex:02100103>讓我們以神聖的心情度過新生祭典吧……！<hex:02100103>夜空中將會升起美麗的煙火。★
1,TEXT_FESANV2024GUIDE_00853_Q1_000_001,請問您要詢問什麼呢？★
2,TEXT_FESANV2024GUIDE_00853_A1_000_001,「新生祭」是指一個慶祝新的開始和轉變的節日。在這個節日中，人們通常會感謝過去的經驗，祝福當下的生活，並祈求未來的幸福和成功。這是一個象徵著希望和重生的慶典，通常會有各種慶祝活動和儀式。★
3,TEXT_FESANV2024GUIDE_00853_A1_000_002,取消★
4,TEXT_FESANV2024GUIDE_00853_NEWBORNINTERN_000_010,「新生祭」是為了紀念曾經襲擊整個艾歐歐爾的悲劇，<hex:02100103>「第七霊災」的犧牲者，<hex:02100103>並感謝在背後奮戰的英雄而舉辦的節日。★
5,TEXT_FESANV2024GUIDE_00853_NEWBORNINTERN_000_011,在新生祭期間，城市將被莊嚴的水晶裝飾點綴，<hex:02100103>夜空中將綻放美麗燦爛的煙火。★
6,TEXT_FESANV2024GUIDE_00853_NEWBORNINTERN_000_012,讓我們沉浸在這幻想般的氛圍中，<hex:02100103>回顧過去、慶祝當下，並祈禱未來的幸福。★
7,TEXT_FESANV2024GUIDE_00853_NEWBORNINTERN_000_013,活動將在「利姆薩·羅敏薩」舉行。<hex:02100103>如果您能參加的話，請務必來參加。★
