key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBDEFRPM_00863_BERURU_000_000,哎呀，<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>！<hex:02100103>在旅途中能再次遇見您，真是令人高興的驚喜！★
1,TEXT_JOBDEFRPM_00863_Q1_000_000,要問什麼呢？★
2,TEXT_JOBDEFRPM_00863_A1_000_001,關於最近的近況。★
3,TEXT_JOBDEFRPM_00863_A1_000_002,「皮克圖師」是指擅長繪畫的靈氣師。★
4,TEXT_JOBDEFRPM_00863_A1_000_003,取消★
5,TEXT_JOBDEFRPM_00863_BERURU_000_010,在與您和葛普莉一起的經歷後，<hex:02100103>為了重新面對自己作為皮克圖師，我踏上了獨自的旅程……來到了這裡的拉札罕。★
6,TEXT_JOBDEFRPM_00863_BERURU_000_011,雖然是第一次來到這個城市，<hex:02100103>卻被充滿豐富多彩的「多彩之都」所震撼……。<hex:02100103>在這裡得到了良好的刺激，看來可以磨煉想像力呢。★
7,TEXT_JOBDEFRPM_00863_BERURU_000_012,我打算暫時以這裡作為據點，<hex:02100103>環遊薩貝尼亞島，繼續我的助人之旅。<hex:02100103>像創始者利爾姆、導師們，還有像您一樣的人……！★
8,TEXT_JOBDEFRPM_00863_BERURU_000_020,皮克圖師是指擅長絵畫魔法的使用者……。<hex:02100103>他們手持「畫筆」代替法杖，將自身的魔力化作顏料，<hex:02100103>然後像作畫一般，具象化想像力。★
9,TEXT_JOBDEFRPM_00863_BERURU_000_021,創造這種特殊魔法的是在<hex:02100103>第五星曆末期，真實存在的旅行畫家，利爾姆。★
10,TEXT_JOBDEFRPM_00863_BERURU_000_022,據說她在發生大戰的困難時代，<hex:02100103>在四處旅行中，用絵畫魔法拯救了許多人。<hex:02100103>因為她的貢獻，被視為十二賢者之一呢。★
11,TEXT_JOBDEFRPM_00863_BERURU_000_023,此後，受到利爾姆思想共鳴的，<hex:02100103>歷代皮克圖師將絵畫魔法代代相傳。<hex:02100103>用一瞬間的光輝彩繪世界，成為人類的助力……！★
