key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_000,嘿，那邊的<hex:02081FE905FF0D>姉ちゃん<hex:FF0D>兄ちゃん<hex:03>。<hex:02100103>如果你是流浪者，我可以告訴你一些關於這個城鎮的事情。★
1,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_001,雖然我對那個飛天的箱子很在意，<hex:02100103>但無論如何，如果有關這個城鎮想知道的事情，可以問我。★
2,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_002,終於天空的妨礙者消失了，感覺清爽了起來……<hex:02100103>城鎮的人們也恢復了沒有不安的明亮笑容呢。<hex:02100103>順便問一下，<hex:02081FE905FF0D>姉ちゃん<hex:FF0D>兄ちゃん<hex:03>，有什麼想問的嗎？★
3,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_003,看著可見圓頂的景象，我已經漸漸習慣了。<hex:02100103>我也想和裡面的人們一起喝酒交流。<hex:02100103><hex:02081FE905FF0D>姉ちゃん<hex:FF0D>兄ちゃん<hex:03>不覺得嗎？★
4,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_Q1_000_000,要問什麼呢？★
5,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_A1_000_001,請告訴我關於你的事情
6,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_A1_000_002,這裡是什麼地方？
7,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_A1_000_003,取消★
8,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_004,我在這個城鎮擔任導遊，叫作費德比。<hex:02100103>這裡有來自世界各地的各種旅人和商人前來，<hex:02100103>所以我會根據目的介紹商店給他們。★
9,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_005,不是免費的啊？<hex:02100103>介紹了客人後，店家會給我中介費！★
10,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_006,費薩泰宿場鎮可以說是一個交通樞紐。<hex:02100103>許多人從連接大陸南北的佐戈永結橋經過，<hex:02100103>來此尋求交通工具或暫時的休息。★
11,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_007,幾年前這裡是一片荒地。<hex:02100103>但是地主凱瑪卡先生的家族購買了這片土地，<hex:02100103>並建造了魔石礦場和進口商品倉庫。★
12,TEXT_REGSAK6HHUSATAHWI_00880_HHUTEPI_000_008,多虧有來自各地的人們，這裡的繁榮程度也越來越好！<hex:02100103>參與青磷水取水業務的人們，以及前往遠方的交易商等，<hex:02100103>他們都會大筆金錢花在這裡。★
