key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_000,哎呀，你居然和我說話，<hex:02100103>需要幫忙嗎？★
1,TEXT_REGSAK6SOLUTIONNINE_00879_Q1_000_000,你想問什麼呢？★
2,TEXT_REGSAK6SOLUTIONNINE_00879_A1_000_001,請告訴我關於你的事情
3,TEXT_REGSAK6SOLUTIONNINE_00879_A1_000_002,這裡是什麼地方？
4,TEXT_REGSAK6SOLUTIONNINE_00879_A1_000_003,取消★
5,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_010,我是……是的，我是這個城市裡一位孤身一人的母親。<hex:02100103>我的孩子已經接受了政府推薦的工作，<hex:02100103>所以現在我只是一位普通的阿姨，大概是這樣吧。★
6,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_011,工作也已經交給年輕人，事情告一段落了，<hex:02100103>現在非常閒暇……<hex:02100103>所以我在這裡和路過的人們聊天。★
7,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_020,我現在所在的居住區名叫「Solution Nine」。<hex:02100103>在總共十二層的城堡中，是其中尤為龐大的城市。★
8,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_021,這個城市有各種不同的設施。<hex:02100103>有政府的窗口、可以取得各種物品的市場、<hex:02100103>還有處理各種商品的繁華街等等。★
9,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_022,聽說那裡有處理非正規品的地方……<hex:02100103>無論如何，你不覺得這樣就能解決所有問題嗎？<hex:02100103>所以這一層被稱為「<hex:024A20FF07E8A7A3E6B1BAFF16E382BDE383AAE383A5E383BCE382B7E383A7E383B303>」。★
10,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_030,清潔人員的工作也相當完善，<hex:02100103>這一層無疑是一個宜居的地方。<hex:02100103>你也考慮搬遷過來看看如何呢？★
11,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_040,這種想法現在看來也顯得空虛。<hex:02100103>難道武王佐萊傑居然會襲擊城市？<hex:02100103>我們要如何才能解決這種痛苦呢……★
12,TEXT_REGSAK6SOLUTIONNINE_00879_UBUYU_000_050,雖然有許多事情，但我不想將那個名字視為謊言。<hex:02100103>如果一直只有問題，蘇芬大人一定會擔心。<hex:02100103>從過去到現在，都要繼續成為一個能解決問題的城市。★
13,TEXT_REGSAK6SOLUTIONNINE_00879_TALK_ACTOR,
