key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6EARTHENSHIRE_00875_TARNOTIK_000_000,嘎呼……嘎呼……<hex:02100103>關於亞生夏亞的介紹～！★
1,TEXT_REGYOK6EARTHENSHIRE_00875_TARNOTIK_000_001,似乎有新的聯合王選定了……<hex:02100103>肯定會更加理解這裡的情況！<hex:02100103>來吧來吧，關於亞生夏亞的介紹～！★
2,TEXT_REGYOK6EARTHENSHIRE_00875_TARNOTIK_000_002,壺匠和世話人也一起協作製作物品～<hex:02100103>來吧來吧，關於亞生夏亞的介紹～！★
3,TEXT_REGYOK6EARTHENSHIRE_00875_Q1_000_000,要問什麼呢？★
4,TEXT_REGYOK6EARTHENSHIRE_00875_A1_000_001,想要了解關於我的事情嗎？★
5,TEXT_REGYOK6EARTHENSHIRE_00875_A1_000_002,這裡是什麼地方呢？★
6,TEXT_REGYOK6EARTHENSHIRE_00875_A1_000_003,取消★
7,TEXT_REGYOK6EARTHENSHIRE_00875_TARNOTIK_000_010,我是莫布林族的世話人，習慣召集者…<hex:02100103>與壺匠協調，如果有什麼問題可以來找我談談～★
8,TEXT_REGYOK6EARTHENSHIRE_00875_TARNOTIK_000_011,做得太過份、太過鬆懈，這兩種情況都很常見～<hex:02100103>我將協助創造出適度刺激職人的環境哦～！★
9,TEXT_REGYOK6EARTHENSHIRE_00875_TARNOTIK_000_020,「亞生夏亞」是莫布林族和壺匠的聚落喔～<hex:02100103>這裡的建築都是用土製陶器製作的～<hex:02100103>所以名字叫作「<hex:024A2CFF10E999B6E8A3BDE381AEE983BDE5B882FF19E382A2E383BCE382B9E383B3E382B7E383A3E382A4E382A203>」！★
10,TEXT_REGYOK6EARTHENSHIRE_00875_TARNOTIK_000_021,莫布林族和熟練的壺匠<hex:02100103>互相合作，生產出高品質的商品<hex:02100103>一起大筆賺錢～！★
