key,3
#,Name
offset,0
int32,str
0,
1,重生之境
2,第七星曆
3,蒼穹之禁城
4,龍詩戰爭終章
5,龍詩戰爭尾聲
6,紅蓮之狂潮
7,解放戰爭戰後
8,暗影之逆焰
9,拂曉回歸
10,末日序曲
11,曉月之終途
12,嶄新的冒險
13,金曦之遺輝
14,
15,蠻神威脅
16,巴哈姆特
17,水晶塔
18,亞歷山大
19,上古眾神
20,瑪哈之影
21,歐米茄時空狹縫
22,歐米茄時空狹縫外傳
23,重返伊瓦利斯
24,四聖獸奇譚
25,伊甸
26,寄葉異聞：暗黑天啟
27,神兵系列
28,萬魔殿
29,
30,艾歐澤亞神話
31,
32,
33,劇情任務
34,日常任務
35,劇情任務
36,日常任務
37,劇情任務
38,日常任務
39,劇情任務
40,日常任務
41,劇情任務
42,日常任務
43,劇情任務
44,日常任務
45,劇情任務
46,日常任務
47,劇情任務
48,日常任務
49,劇情任務
50,日常任務
51,劇情任務
52,日常任務
53,劇情任務
54,日常任務
55,劇情任務
56,日常任務
57,劇情任務
58,日常任務
59,劇情任務
60,日常任務
61,劇情任務
62,日常任務
63,劇情任務
64,日常任務
65,劇情任務
66,日常任務
67,劇情任務
68,日常任務
69,各族盟友
70,各族盟友：蒼穹之章
71,各族盟友：紅蓮之章
72,各族盟友：曉月之章
73,龍詩戰爭外傳
74,拂曉回歸外傳
75,嶄新的冒險外傳
76,非著名調查員
77,非著名調查員：蒼穹之章
78,非著名調查員：紅蓮之章
79,希爾迪布蘭德歸來
80,曼德維爾武器
81,
82,黃道武器
83,元靈武器
84,禁地優雷卡
85,天佑女王
86,第七靈災回憶錄
87,郵差莫古力
88,聖恩達利姆神學院記
89,虛無界再生計劃
90,塔塔露的大繁榮商店
91,多瑪冒險者團
92,多瑪飛地重建記
93,重建伊修加德：劇情任務
94,重建伊修加德：支線任務
95,莫雯卓越工具
96,死者宮殿
97,天之御柱
98,正統優雷卡
99,無人島開拓記
100,多變迷宮
101,支線任務：拉諾西亞
102,支線任務：黑衣森林
103,支線任務：薩納蘭
104,支線任務：庫爾札斯
105,支線任務：摩杜納
106,支線任務：伊修加德
107,支線任務：阿巴拉提亞雲海
108,支線任務：龍堡參天高地
109,支線任務：龍堡內陸低地
110,支線任務：翻雲霧海
111,支線任務：田園郡
112,支線任務：魔大陸
113,支線任務：神拳痕
114,支線任務：基拉巴尼亞邊區
115,支線任務：基拉巴尼亞山區
116,支線任務：基拉巴尼亞湖區
117,支線任務：黃金港
118,支線任務：紅玉海
119,支線任務：延夏
120,支線任務：太陽神草原
121,支線任務：水晶都
122,支線任務：游末邦
123,支線任務：雷克蘭德
124,支線任務：珂露西亞島
125,支線任務：安穆·艾蘭
126,支線任務：伊爾美格
127,支線任務：拉凱提卡大森林
128,支線任務：黑風海
129,支線任務：舊薩雷安
130,支線任務：拉札罕
131,支線任務：迷津
132,支線任務：薩維奈島
133,支線任務：加雷馬
134,支線任務：嘆息海
135,支線任務：厄爾庇斯
136,支線任務：天外天垓
137,支線任務：圖萊尤拉
138,支線任務：奧闊帕恰山
139,支線任務：克扎瑪烏卡濕地
140,支線任務：亞克特爾樹海
141,支線任務：夏勞尼荒野
142,支線任務：遺產之地
143,支線任務：九號解決方案
144,支線任務：活著的記憶
145,劍術師任務
146,格鬥家任務
147,斧術師任務
148,槍術師任務
149,弓箭手任務
150,雙劍師任務
151,幻術師任務
152,咒術師任務
153,秘術師任務
154,刻木匠任務
155,鍛鐵匠任務
156,鑄甲匠任務
157,雕金匠任務
158,製革匠任務
159,裁衣匠任務
160,煉金術士任務
161,烹調師任務
162,採礦工任務
163,園藝工任務
164,捕魚人任務
165,騎士任務
166,武僧任務
167,戰士任務
168,龍騎士任務
169,吟遊詩人任務
170,忍者任務
171,白魔法師任務
172,黑魔法師任務
173,召喚師任務
174,學者任務
175,暗黑騎士任務
176,機工士任務
177,占星術士任務
178,武士任務
179,赤魔法師任務
180,絕槍戰士任務
181,舞者任務
182,賢者任務
183,釤鐮客任務
184,蝰蛇劍士任務
185,繪靈法師任務
186,青魔法師任務
187,金屬工藝部任務
188,手工工藝部任務
189,食藥工藝部任務
190,大地資源部任務
191,水生資源部任務
192,中庸工藝館劇情任務
193,考古系任務
194,天文系任務
195,醫學系任務
196,文化系任務
197,乙太系任務
198,薩雷安魔法大學劇情任務
199,五金店任務
200,筆記工房任務
201,鮮榨果藝任務
202,奇珍異寶任務
203,隨心釣任務
204,萬貨街劇情任務
205,防護職能任務：暗影之章
206,治療職能任務：暗影之章
207,物理進攻職能任務：暗影之章
208,魔法進攻職能任務：暗影之章
209,職能劇情任務：暗影之章
210,防護職能任務：曉月之章
211,治療職能任務：曉月之章
212,近戰職能任務：曉月之章
213,遠程物理職能任務：曉月之章
214,遠程魔法職能任務：曉月之章
215,職能劇情任務：曉月之章
216,防護職能任務：金曦之章
217,治療職能任務：金曦之章
218,近戰職能任務：金曦之章
219,遠程物理職能任務：金曦之章
