key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_000,歡迎來到永不眠的城市「生活之記憶」。<hex:02100103>請問您有什麼事情需要處理嗎？★
1,TEXT_REGULW6GATEOFREMEMBRANCE_00887_Q1_000_000,要問什麼事情？★
2,TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_001,請告訴我關於你的事情
3,TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_002,這裡是什麼地方？★
4,TEXT_REGULW6GATEOFREMEMBRANCE_00887_A1_000_003,取消★
5,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_010,我的個體名稱是克拉克PX-0006。<hex:02100103>我負責「記憶之門」的查詢窗口。<hex:02100103>如果有任何疑問，請隨時詢問。★
6,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_020,這裡是「生活之記憶」的入口「記憶之門」。<hex:02100103>本區域是生活之記憶的中心……<hex:02100103>您可以利用滑輪索從這裡前往各個區域。★
7,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_021,位於溫暖的度假勝地「卡納爾城」，<hex:02100103>有著夢想的主題樂園「伊耶斯塔樂園」，<hex:02100103>以及勇氣與火焰的「火山冒險館」……★
8,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_022,還有滿足探求心靈的「風之路花園」。<hex:02100103>請在您喜歡的區域放鬆身心。★
9,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_023,對於新來的訪客，<hex:02100103>需要先進行滑輪索使用者登錄……<hex:02100103>建議先前往北部的「主終端」進行登記手續。★
10,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_024,另外，目前「水之終端」已經停止運作。<hex:02100103>請在前往該區域時注意。★
11,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_025,另外，目前「水之終端」和「大地終端」已經停止運作。<hex:02100103>請在前往該區域時注意。★
12,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_026,另外，目前「水之終端」、「大地終端」和<hex:02100103>「火之終端」已經停止運作。<hex:02100103>前往該區域時請注意。★
13,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_027,另外，目前各區域的終端已經停止運作，但<hex:02100103>永遠的人們，請放心，請放心。<hex:02100103>生命之力的乙太將很快供應，請放心。★
14,TEXT_REGULW6GATEOFREMEMBRANCE_00887_CLERKPX0006_000_028,另外，目前各區域的終端已經停止運作。<hex:02100103>前往該區域時請注意。★
