key,11,13
#,Description,IsInitial
offset,0,8
int32,str,str
2162688,梭魚埠頭,軍用埠頭，利姆薩·羅敏薩引以為傲的旗艦艦隊「黑渦艦隊」在此停泊。一般市民是禁止進入的，不過，可以從視野好的地方看到旗艦凱旋號及整個艦隊的英姿。
2162689,阿斯塔利西亞號海盜船,三大海盜之首的海盜團「斷罪黨」擁有的大型帆船。雖然表面上對外宣稱這是一艘外國籍的商務船，但其實每個人心裡都清楚，那是大海盜希爾菲厄的私有船。船內則是各路海盜們的社交場所。
2162690,海詞石窟的紀念碑,船員們的紀念碑。紀念碑上刻有傳說會運送靈魂的黑尾鷗，以及一首鎮魂歌：「我是支撐船隻的波浪，我是指引海員的微風。我是夜晚的星星，我是早晨的天空。我生於大海之中，亦將逝於大海之中。」
2162691,天梯,第七靈災時，天地巨變導致這裡的地形發生了極大的變化。為了跨越這新生的橫斷崖，利姆薩·羅敏薩的運貨人共同搭建起了能夠運送貨物的升降機。除升降機外，有時他們還會使用氣球上下傳遞物資。
2162692,拉撒格蘭東路,連接中拉諾西亞和拉諾西亞低地、並通往東拉諾西亞的一條道路。這條路是以一位精靈族的冒險者「拉撒格蘭」的名字命名。在人們遷入到這個島嶼的早期時候，他曾與建國船加拉迪翁號的領航員德內維爾一起，在島上探索並記錄下地形的結構。
2162693,砂鹽灘,靈災之時，墜落的衛月碎片貫穿了沙灘的地脈，使得大量的乙太噴出形成偏屬性水晶。也因此使得海水中的鹽分結晶化，形成了巨大的鹽柱。
2162694,赤血雄雞農場的田地,由一名園藝工建立的實驗農場。這裡不僅栽培農作物，也會飼養一些渡渡鳥和羊羔之類的家禽和家畜。農場的名字也頗有來歷，當初人們為了取樂而讓白雞和紅雞相鬥，可最終卻由於戰鬥慘烈而使兩隻雞渾身上下都染成了血紅色。
2162695,釀酒師燈塔,在雨燕塔坍塌之後，人們建造了這座新的燈塔來指引航船。因為這裡主要指引的是出入小麥酒港的船隻，所以人們給其冠上了釀酒師的名號。在燈塔上可以一覽為警戒水神利維亞桑海嘯而設定的緩衝帶。
2162696,製革匠公會,格里達尼亞的製革匠在整個艾歐澤亞都頗有名氣，他們組成的工作室每天都在沉迷於對森林的恩惠進行加工。飛·烏爾工作室是其中尤為著名的一家工作室，技術不夠的公會成員甚至沒有資格冠上這個品牌，他們提供的商品一直都是供不應求。
2162697,碧企鵝瀑布,據說很久以前，人們在這個活水湧流形成的小瀑布試養過碧企鵝這種鳥類，瀑布的名字也由此而來。第六星曆末期，賢者路易索瓦造訪格里達尼亞時喜歡來此進行思索，也讓這裡更加有名。
2162698,彎枝牧場,由「莫古力禮峰」經營的牧場，致力於讓陸行鳥能夠安定地進行繁殖，為此還專門從該項手藝的發源地伊修加德招來了飼養員。印有莫古力圖案的氣球是這裡最顯著的標誌。
2162699,十二神大聖堂,在大冰雪時代之後，人們飽受飢餓和病痛的折磨，這座大聖堂就是當時的人們希冀得到所有十二神的加護而建造的。在第七靈災後的困難時代，為了再次得到神的加護，格里達尼亞的人民們對這裡進行了修繕。
2162700,妖精暫留地,在妖精族內部也並沒有對召喚雷神拉姆達成一致，暫留地的妖精們就是反對召喚的一派，他們離開了妖精領，來到這附近搭建起了一個暫時居住的村落。這裡的住房是植物的枝葉和果實被施加了魔法後變化而成的，懸掛於樹木之上，造型非常奇妙。因為妖精族可以飛行，所以房屋上完全沒有設立梯子。
2162701,御道,烏爾達哈政府層的步行道。通向皇宮正門的這條道路上，有近衛兵團「銀胄團」的騎士看守在兩側。在王權強大的時期，路上聚滿了為拜見王族而來的民眾。可現今，這條路也不過就是富裕階層的人拿來散步用的道路罷了。
2162702,黃金廣場,黃金廣場在烏爾達哈的中心部，廣場中間配有噴水池，廣大市民都可以在這裡乘涼歇息。雖然黃金廣場曾是王族舞會專用的場所，可是近年來國家經濟困難難以維護，所以廣場的管理權也就移交給了普通市民。
2162703,貿易城邦烏爾達哈,屹立在荒涼沙漠薩納蘭的貿易城邦。高大的城牆內，無數圓形屋頂的建築物坐落其中。這個光景曾治癒過無數旅途勞累的旅行者。城市因貿易的緣故非常富裕，因此享有「荒野的寶石」這一美名。
2162704,希拉狄哈遺跡,古都希拉狄哈的遺跡。約400年前，這座城市因敗北於烏爾達哈而滅亡，時過百年，已被埋入沙中。烏爾達哈遷都之後，與埋在沙中的希拉狄哈有一部分重疊。
2162705,古菩猩猩的遺骸,被有很多罕見花草所簇擁的古菩猩猩遺骸。在靈災之時，陷入恐慌的古菩猩猩從庫爾札斯山上跑了下來，在穿過黑衣森林的時候，黏上了很多奇花異草的種子，然後在這裡筋疲力竭。
2162706,消逝王都,火牆周邊的地面因為衛月碎片的墜落而產生了巨大的裂痕。在裂痕之下顯露出的是壯麗的遺跡。經研究表明，這裡很可能是貝拉哈迪亞後期塔塔梅夫一世的墓地。
2162707,跨天橋,跨天橋是薩納蘭與黑衣森林相互往來用的石橋。作為格里達尼亞重要的貿易道路，由銅刃團蘭花聯隊旗下的防禦部隊駐守。另外，這裡對調查消逝王都的學者們來說也是重要的地點。
2162708,輕聲谷,在源自奧·哥摩羅的尼姆河常年的侵蝕下形成的溪谷。無數細小的瀑布與潺潺流水共同演奏出清澈的交響樂。由於溪谷遮蔽了陽光，所以這裡成為了酒宴避暑的好地方，也因此受當地人喜愛。
2162709,盛夏農莊,依照梅爾維布提督推行的遷入政策而開發的村落。目前由一些金盆洗手的海盜和資深農夫協力開拓。依靠無賴川豐富的水資源恩惠，使得拉諾西亞香橙的栽培取得了很大成功。
2162710,灰艦風車群,這裡的風車主要用來研磨赤血雄雞農場的小麥和對羊毛進行縮絨。風車的扇葉都是利用的帆布，遠遠看去給人一種艦隊的感覺。
