key,9
#,
offset,0
int32,str
0,
1,半透明：黑色
2,漸變色：藍色
3,漸變色：紫色
4,乳白色
5,長槍
6,經典
7,木板
8,半透明：深藍色
9,木質紋理
10,卷軸
11,巴哈姆特絕境戰
12,究極神兵絕境戰
13,亞歷山大絕境戰
14,幻想龍詩絕境戰
15,友好部族任務：奧密克戎族
16,音樂
17,東方樣式
18,膠帶紙：利姆薩·羅敏薩
19,膠帶紙：格里達尼亞
20,膠帶紙：烏爾達哈
21,友好部族任務：仙子族
22,友好部族任務：奇塔利族
23,友好部族任務：矮人族
24,友好部族任務：悌陽象族
25,友好部族任務：兔兔族
26,歐米茄絕境驗證戰
27,友好部族任務：甲人族
28,友好部族任務：阿難陀族
29,友好部族任務：鯰魚精族
30,10週年紀念
31,海釣愛好者
32,願者上鉤
33,運籌帷幄
34,友好部族任務：瓦努族
35,友好部族任務：骨頜族
36,友好部族任務：莫古力族
37,艾歐澤亞神話
38,塔塔露的大繁榮商店
39,天書奇談
40,幻巧拼圖
41,金碟巨豆中心1
42,金碟巨豆中心2
43,金碟巨豆中心3
44,
45,
46,
47,
48,
49,
50,
