key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_000,啊，竟然真的受到了傷害……。★
1,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_001,歡迎光臨！<hex:02100103>當您決定好訂單後，請您呼喚我！★
2,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_010,歡迎光臨！<hex:02100103>關於祭器奪還的委託事項，如果有任何需要確認的事情，<hex:02100103>我會在我知道的範圍內回答您哦！★
3,TEXT_JOBDEFROLERRALMAJUN_00852_Q1_000_020,要問什麼呢？★
4,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_021,最近的情況是怎樣的呢？★
5,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_022,「祭器」是指什麼？★
6,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_023,「自由之門」是指什麼？★
7,TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_024,取消★
8,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_030,被盜了祭器，正在追捕犯人的部落有5個。<hex:02100103>雖然每個部落所需的能力不同……<hex:02100103>請您協助前往奪回的人們吧！★
9,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_031,感謝您，成功取回了所有被盜的祭器！<hex:02100103>非常感謝您！★
10,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_032,但是，“自由之門”的成員應該有6人。<hex:02100103>而組織尚未崩潰，<hex:02100103>危機並未完全消除……。★
11,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_033,如果有新的動向，我會通知您的，<hex:02100103>在有空的時候，請來我們店裡坐坐吧。<hex:02100103>就算沒有特別事情，也歡迎您來光臨喔！★
12,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_040,在特拉爾大陸各地居住的部族，<hex:02100103>已經數百年來代代相傳的，非常厲害的寶藏！★
13,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_041,據說在祭器裡，封印著被各部族視為象徵的動物，<hex:02100103>名為特拉維德拉爾（Tralvidraal）的靈魂。<hex:02100103>拿在手裡的人據說可以隨心所欲地發揮其能力。★
14,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_042,各部族似乎一直尊重並運用這股力量，<hex:02100103>以保護他們自己的聚落為目的。★
15,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_043,類似的……祭器的由來完全不明。<hex:02100103>據說甚至不知道是誰建造的，出於什麼目的，<hex:02100103>以及總共存在多少個……這難道是古代的神秘？★
16,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_050,據說是以阿帕希為首領的邪惡秘密組織。<hex:02100103>成員包括她在內總共6人……<hex:02100103>坐下來不點任何菜就走，真是令人困擾的家夥們！★
17,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_051,據首領所言，她們的目的是在全世界製造混亂，推翻各國政權。<hex:02100103>為此，她們襲擊了各部族的聚落，偷走了祭器。★
18,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_052,他們已經越過海洋逃往外國，<hex:02100103>據說目的地似乎全部人都不同。★
19,TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_053,當然要奪回被偷的祭器……<hex:02100103>並且要確保他們不再造成壞事，請恪守這點！★
