key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_000,哦，旅行者嗎？如果您有任何問題，我可以回答。★
1,TEXT_REGYOK6IQBRAAX_00876_Q1_000_000,要問什麼呢？★
2,TEXT_REGYOK6IQBRAAX_00876_A1_000_001,請告訴我關於你的事情
3,TEXT_REGYOK6IQBRAAX_00876_A1_000_002,這裡是什麼地方？
4,TEXT_REGYOK6IQBRAAX_00876_A1_000_003,取消★
5,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_010,我是一名塗装工人。<hex:02100103>將建築物鮮艷地塗成紅色是這個村莊的特點。★
6,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_011,即使在森林樹木的間隙中，也不會被埋沒……<hex:02100103>離開村莊時，祈禱著能無迷路地回到自己的家，定期地重塗著房屋。★
7,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_020,這裡是“伊庫布拉夏”。<hex:02100103>是居住在森林中，奉獻帶有赤血的布拉夏祖先的，<hex:02100103>由古老的修巴拉爾族群建立的村莊。★
8,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_021,大約80年前，与曼穆贾族的战争持续不断，<hex:02100103>但自格鲁贾扎大人停止争斗後，一切恢复平静。<hex:02100103>我们日复一日地感恩森林的恩赐，过着平和的生活。★
9,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_030,您是為了繼承儀式而來尋訪的對吧？<hex:02100103>我在默默地祈禱，希望您在這個村莊度過的時間能成為美好的回憶。★
10,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_040,夏伯爾克·皮必爾是我也非常喜歡的料理呢……。<hex:02100103>想每天都吃呢。★
11,TEXT_REGYOK6IQBRAAX_00876_BRUKINEN_000_050,自從烏克拉瑪特大人與庫納大人共同繼承王位後，<hex:02100103>我覺得胡姆爾克先生的笑容增加了呢。<hex:02100103>我祈禱著她們的統治會變得美好。★
