key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGBA301_04830_SEQ_00,沙巴布切的夏謝帕正用充滿期待的眼神注視著冒險者。★
1,TEXT_KINGBA301_04830_SEQ_01,我與夏謝帕交談了。她請求我協助伊特卡奪回被村落偷走的「阿葛哈祭器」。她說她已前往庫加內，追捕跨海逃亡的犯人。為了找到伊特卡，讓我在庫加內的潮風亭收集她的情報。★
2,TEXT_KINGBA301_04830_SEQ_02,在收集情報後，我發現了伊特卡應該在的女性的所在地。讓我前往庫加內的赤誠組屯所附近與這位「看起來像伊特卡的女性」交談。★
3,TEXT_KINGBA301_04830_SEQ_03,我與伊特卡交談了。庫加內發生了許多爭吵事件，看起來是祭器被盜的犯人引起的。我們將尋找爭吵事件，找到這位犯人。讓我們前往赤誠組屯所附近與這位「伊特卡」交談。★
4,TEXT_KINGBA301_04830_SEQ_04,帶著伊特卡，讓我們前往庫加內的樂座街，在「<hex:02280CFF05>EObj<hex:F61EB9F90103>」進行搜索。<hex:02100103><hex:02100103>※若同行狀態被解除，只需再次與「伊特卡」交談，即可恢復同行。★
5,TEXT_KINGBA301_04830_SEQ_05,雖然發生了關於找零錢的爭吵，但並未找到祭器被盜的犯人。讓我們帶著伊特卡，前往庫加內的小金通道，在「<hex:02280CFF05>EObj<hex:F61EB9FA0103>」進行搜索。★
6,TEXT_KINGBA301_04830_SEQ_06,兩名武士之間發生了誤會，導致了爭吵事件，而祭器被盜的犯人則假扮成這場爭吵的妻子。伊特卡射箭對準變成鷹的犯人，但未能擊中，犯人逃跑了。經過誤會，爭吵事件得到解決，赤誠組也發布了注意事項。讓我們回到赤誠組屯所附近，與「伊特卡」再次交談。★
7,TEXT_KINGBA301_04830_SEQ_07,我和伊特卡交談了。從現在開始，我們將透過「爭執事件」來追查祭器被盜的犯人。請等待新的進展，然後與她聯繫。<hex:02100103><hex:02100103>※當任何一個近戰物理DPS職業達到92級以上時，就可以從赤誠組屯所附近的伊特卡那裡接受下一個近戰物理DPS角色任務。★
8,TEXT_KINGBA301_04830_SEQ_08,
9,TEXT_KINGBA301_04830_SEQ_09,
10,TEXT_KINGBA301_04830_SEQ_10,
11,TEXT_KINGBA301_04830_SEQ_11,
12,TEXT_KINGBA301_04830_SEQ_12,
13,TEXT_KINGBA301_04830_SEQ_13,
14,TEXT_KINGBA301_04830_SEQ_14,
15,TEXT_KINGBA301_04830_SEQ_15,
16,TEXT_KINGBA301_04830_SEQ_16,
17,TEXT_KINGBA301_04830_SEQ_17,
18,TEXT_KINGBA301_04830_SEQ_18,
19,TEXT_KINGBA301_04830_SEQ_19,
20,TEXT_KINGBA301_04830_SEQ_20,
21,TEXT_KINGBA301_04830_SEQ_21,
22,TEXT_KINGBA301_04830_SEQ_22,
23,TEXT_KINGBA301_04830_SEQ_23,
24,TEXT_KINGBA301_04830_TODO_00,在庫加內收集情報。★
25,TEXT_KINGBA301_04830_TODO_01,與看起來像伊特卡的女性交談。★
26,TEXT_KINGBA301_04830_TODO_02,和伊特卡交談，讓她跟隨。★
27,TEXT_KINGBA301_04830_TODO_03,帶著伊特卡，在<hex:02280CFF05>EObj<hex:F61EB9F90103>位置上觀察。★
28,TEXT_KINGBA301_04830_TODO_04,帶著伊特卡再次在<hex:02280CFF05>EObj<hex:F61EB9FA0103>位置上觀察。★
29,TEXT_KINGBA301_04830_TODO_05,和伊特卡交談。★
30,TEXT_KINGBA301_04830_TODO_06,
31,TEXT_KINGBA301_04830_TODO_07,
32,TEXT_KINGBA301_04830_TODO_08,
33,TEXT_KINGBA301_04830_TODO_09,
34,TEXT_KINGBA301_04830_TODO_10,
35,TEXT_KINGBA301_04830_TODO_11,
36,TEXT_KINGBA301_04830_TODO_12,
37,TEXT_KINGBA301_04830_TODO_13,
38,TEXT_KINGBA301_04830_TODO_14,
39,TEXT_KINGBA301_04830_TODO_15,
40,TEXT_KINGBA301_04830_TODO_16,
41,TEXT_KINGBA301_04830_TODO_17,
42,TEXT_KINGBA301_04830_TODO_18,
43,TEXT_KINGBA301_04830_TODO_19,
44,TEXT_KINGBA301_04830_TODO_20,
45,TEXT_KINGBA301_04830_TODO_21,
46,TEXT_KINGBA301_04830_TODO_22,
47,TEXT_KINGBA301_04830_TODO_23,
48,TEXT_KINGBA301_04830_SHASHEPYA_000_000,嘿，也許你是從<it:02100103>布魯克布先生那裡聽到消息來到這裡的？★
49,TEXT_KINGBA301_04830_SHASHEPYA_000_001,那真是太感激了！<it:02100103>我是夏夏帕，來自薩卡・特拉爾深處森林裡的村莊。<it:02100103>馬上開始吧，讓我來解釋被偷走的祭器吧。★
50,TEXT_KINGBA301_04830_SHASHEPYA_000_002,在我所居住的村莊裡，代代相傳祀奉著封印了<it:02100103>蝴蝶特拉爾維多拉爾的力量的<it:02100103>「鳳蝶祭器」。★
51,TEXT_KINGBA301_04830_SHASHEPYA_100_002,這種蝴蝶原本擁有擬態成其他擁有毒性的蝴蝶，<it:02100103>以保護自己免受掠食者威脅的天性。★
52,TEXT_KINGBA301_04830_SHASHEPYA_100_003,
53,TEXT_KINGBA301_04830_SHASHEPYA_000_003,經過漫長的時間，它逐漸轉變成了特拉爾維多拉爾，<it:02100103>並獲得了更強大的能力，具有擬態成任何魔物或動物的獨特能力。★
54,TEXT_KINGBA301_04830_SHASHEPYA_000_004,鳳蝶祭器中蘊含了這種力量，持有者可以擬態為其見過的任何魔物或動物……甚至可以擬態成他人。★
55,TEXT_KINGBA301_04830_SHASHEPYA_000_005,而且，不僅可以模仿外表，甚至在掌握的範圍內模仿對象所具有的能力。★
56,TEXT_KINGBA301_04830_SHASHEPYA_100_005,例如，如果模仿雙刀獵人維帕的形象，就可以展現出華麗的劍技。<it:02100103>如果變成兇獸布拉夏的樣貌，甚至可以自如地使用尖銳的爪和牙齒。★
57,TEXT_KINGBA301_04830_SHASHEPYA_100_006,當然我們也受益於這樣的祭器。<it:02100103>森林中獵物豐富，同時也有許多兇猛的猛獸……我們通過模仿強大的魔物，驅退了對村莊造成危害的存在。★
58,TEXT_KINGBA301_04830_SHASHEPYA_000_006,因此，祭器對於保護村落非常重要。<it:02100103>為了確保成功奪回，村中頂尖的獵人「伊特卡」踏上了奪回行動。★
59,TEXT_KINGBA301_04830_SHASHEPYA_000_007,對於她來說，總是能夠確實擊倒她所瞄準的目標。<it:02100103>雖然我原本以為很快就會成功取回，但至今仍然沒有消息……也許她遇到了預料之外的困難。★
60,TEXT_KINGBA301_04830_SHASHEPYA_000_008,因此，我正在尋找對海外土地非常熟悉的合作夥伴。<it:02100103>另外，像你這樣能擅長近身戰鬥的戰士，應該能與弓箭手伊特卡合作得很好。★
61,TEXT_KINGBA301_04830_SHASHEPYA_000_009,據目擊者描述，偷走祭器的罪犯似乎說著「讓我在クガネ試試這個力量」之類的話。<it:02100103>根據船員的說法，那是遙遠東方的一個城市的名字。★
