key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_000,哎呀哎呀，你是不是對農地很感興趣？<hex:02100103>如果想知道什麼，我可以告訴你哦。★
1,TEXT_REGSAK6YYUPYESHALO_00885_Q1_000_000,要問什麼呢？★
2,TEXT_REGSAK6YYUPYESHALO_00885_A1_000_001,請告訴我關於你的事情
3,TEXT_REGSAK6YYUPYESHALO_00885_A1_000_002,這裡是什麼地方呢？★
4,TEXT_REGSAK6YYUPYESHALO_00885_A1_000_003,取消★
5,TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_010,呵呵，是對我感興趣嗎，不是農地？<hex:02100103>我的名字叫尤皮卡娜，正如你看到的，我是夏特納族。★
6,TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_011,啊，年齡我是保密的，不要問哦？<hex:02100103>我的愛好是耕作和用新鮮蔬菜做料理，<hex:02100103>擅長的是辨別蔬菜的新鮮度。★
7,TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_020,這裡是奧特斯卡茲生活中不可或缺的「尤佩圓形農地」。<hex:02100103>我在農地的管理者夏洛奇的指導下，種植各種蔬菜。★
8,TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_021,在借助電擊繩技術的幫助下，<hex:02100103>我們接受大地的恩賜，與大地共同生活……<hex:02100103>這樣的信念支撐著我們，這個重要的設施可以這麼說。★
9,TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_022,即使在<hex:024A11FF04E5A194FF0AE382ADE383BCE3839703>中也有蔬菜生產，<hex:02100103>但與原本由特拉爾種植的品種不同。<hex:02100103>這就是培育特拉爾蔬菜的意義，這片農地存在的理由。★
10,TEXT_REGSAK6YYUPYESHALO_00885_YYOPYICANA_000_023,前幾天在基普發生了不好的事情對吧？<hex:02100103>雖然這次沒事，但為了在緊急情況下能提供糧食支援，<hex:02100103>也許應該重新審視收成量和農地管理方式。★
