key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_000,這裡是種植咖啡豆的農場！<hex:02100103>怎麼了，你想問什麼呢！？★
1,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_001,我事後才聽說瓦利加曼達被討伐了！<hex:02100103>真是太好了，咖啡豆的種植沒受到影響。<hex:02100103>好的，讓我來解釋一下這個地方吧！★
2,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_002,據說已經選出了新國王！<hex:02100103>為了讓新國王品嚐美味的咖啡，<hex:02100103>必須種植出最上等的咖啡豆！★
3,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_003,這裡是種植咖啡豆的農場！<hex:02100103>你對這裡的咖啡感興趣嗎？★
4,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_Q1_000_000,要問什麼呢？★
5,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_A1_000_001,請告訴我關於你的事情
6,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_A1_000_002,這裡是什麼地方？
7,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_A1_000_003,取消★
8,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_010,我是夏布魯……！<hex:02100103>在這個基貝魯·卡皮農場工作的同時，<hex:02100103>我會將這裡的咖啡豆的絕妙之處推廣到各地。★
9,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_011,我熱愛的這座農場的咖啡……<hex:02100103>為了推廣和擴大銷售渠道，我日夜工作著！<hex:02100103>希望您也能對它感興趣。★
10,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_020,這裡是由基貝爾先生創立的，<hex:02100103>基貝魯·卡皮農場。<hex:02100103>我們種植咖啡豆，並將其運送到托拉爾大陸各地！★
11,TEXT_REGYOK6CIBLUSCOFFEEGROUNDS_00866_SHOVLU_000_021,咖啡有許多有助於健康的美妙功效。<hex:02100103>希望您也能品嚐美味，<hex:02100103>透過我們的咖啡感到清爽！！★
