key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6OKBEKBE_00873_UUNUHANU_000_000,由於仍受到大風暴的影響，大家都很忙碌。<hex:02100103>如果可以的話，我可以跟你談談這個地方。★
1,TEXT_REGYOK6OKBEKBE_00873_UUNUHANU_000_001,上次的伊希哈娜祭，我也玩得開心。<hex:02100103>這裡的商人們也對談話題感興趣。★
2,TEXT_REGYOK6OKBEKBE_00873_UUNUHANU_000_002,在新的聯盟之王的領導下，<hex:02100103>科沙瑪魯卡肯定會吸引更多的人流。<hex:02100103>到那時，奧克貝克貝也應該會更加繁榮。★
3,TEXT_REGYOK6OKBEKBE_00873_Q1_000_000,您想問什麼呢？★
4,TEXT_REGYOK6OKBEKBE_00873_A1_000_001,請告訴我關於你的事情
5,TEXT_REGYOK6OKBEKBE_00873_A1_000_002,這裡是什麼地方？
6,TEXT_REGYOK6OKBEKBE_00873_A1_000_003,取消★
7,TEXT_REGYOK6OKBEKBE_00873_UUNUHANU_000_010,我為來這個地方的商人和旅人提供有關設施和周邊情況的導覽。★
8,TEXT_REGYOK6OKBEKBE_00873_UUNUHANU_000_011,這個聚落居住著各種部族，被評為是個寧靜的地方。<hex:02100103>旅人大人，請隨意放鬆，我們很高興您能感到舒適。★
9,TEXT_REGYOK6OKBEKBE_00873_UUNUHANU_000_020,這裡的「奧克貝克貝」的意思是「隣人的村莊」。<hex:02100103>來自特利歐拉地區的各種部族在這個聚落中心進行著貿易等工作。★
10,TEXT_REGYOK6OKBEKBE_00873_UUNUHANU_000_021,許多人喜歡這個地方，<hex:02100103>甚至有些人選擇與我們哈努哈努族一同生活。<hex:02100103>聽著水流輕柔的潺潺聲，過著寧靜的生活，是一件很棒的事情。★
