key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_000,呼呼……呼呼……<hex:02100103>你想知道這裡的事情嗎~？★
1,TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_001,連升王已經確定了，值得慶祝~<hex:02100103>新的交易應該也會增加吧~。<hex:02100103>你想知道這裡的事情嗎~？★
2,TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_002,呼呼……呼呼……<hex:02100103>旅人、商人、一致團結，大家共同讓國家繁榮起來~。<hex:02100103>你想知道這裡的事情嗎~？★
3,TEXT_REGYOK6MANYFIRES_00874_Q1_000_000,要問什麼呢？★
4,TEXT_REGYOK6MANYFIRES_00874_A1_000_001,請告訴我關於你的事情
5,TEXT_REGYOK6MANYFIRES_00874_A1_000_002,這裡是什麼地方？
6,TEXT_REGYOK6MANYFIRES_00874_A1_000_003,取消★
7,TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_010,我是這裡的導遊~<hex:02100103>接連而來的行商人<hex:02100103>商人招待你參加燒烤……。★
8,TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_011,如果友善對待的話，也會得到回報的哦~<hex:02100103>我也會得到美味的肉～！★
9,TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_020,這裡的名字是「朋友之燈火」～<hex:02100103>旅人、商人紛紛前來～<hex:02100103>從特里約羅而來～。★
10,TEXT_REGYOK6MANYFIRES_00874_FLONICHIQ_000_021,疲憊的旅人在這裡可以好好休息<hex:02100103>但是現在大樓梯壞了……<hex:02100103>趕快修好，大家一起生火烤肉吧~。★
