key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_000,……抱歉，我們不能和外來者交談。★
1,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_010,娜茹爾……你們被稱為賈提卡巴娜嗎，<hex:02100103>對這顆閃亮的果實有什麼事情？★
2,TEXT_REGYOK6GOLMAJIIKGROVE_00878_Q1_000_000,要問什麼？★
3,TEXT_REGYOK6GOLMAJIIKGROVE_00878_A1_000_001,請告訴我關於你的事情
4,TEXT_REGYOK6GOLMAJIIKGROVE_00878_A1_000_002,這裡是什麼地方？
5,TEXT_REGYOK6GOLMAJIIKGROVE_00878_A1_000_003,取消★
6,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_020,我只是個普通的農夫。娜茹爾雖然外表很奇特，但甜度濃郁，相當好吃。★
7,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_021,我想要利用這閃亮的果皮，<hex:02100103>將獸皮磨光或用於製作藥物等，提出了用途建議。<hex:02100103>……嘛，但還沒有被廣泛接受。★
8,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_030,這裡是「戈爾馬吉卡蜜園」農場，<hex:02100103>正如您所看到的，我們在這裡種植娜茹爾。<hex:02100103>這裡是這片黑暗森林中少數能夠曬到陽光的土地。★
9,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_031,在這裡培育的娜茹爾主要被村裡消費，<hex:02100103>葉子則有時會被外面的人利用。<hex:02100103>但這方面有很多秘密……請不要詢問太多詳情。★
10,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_040,將來可能還有其他植物可以培育……<hex:02100103>但我打算繼續當娜茹爾農夫。<hex:02100103>因為培育了很長一段時間，我對它有著特別的感情。★
11,TEXT_REGYOK6GOLMAJIIKGROVE_00878_HAPOLLJA_000_050,非雙頭者成為了王……<hex:02100103>老實說，我還沒有太多實感，<hex:02100103>也許這片森林的樣貌將會因此改變吧。★
