key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_000,旅行者，歡迎光臨！<hex:02100103>有什麼想問的事情嗎～？★
1,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_001,看來瓦里加爾曼達的封印已經解除了呢……<hex:02100103>讓我們做好準備，隨時可以撤離。<hex:02100103>如果有問題想問，請簡單說明吧。★
2,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_002,聽說瓦里加爾曼達已被打敗了！<hex:02100103>這樣一來，奧爾科帕查也恢復了和平。<hex:02100103>你也好好放鬆，再見，瓦春貝羅。★
3,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_003,看來已經有新的聯王決定了呢。<hex:02100103>瓦春貝羅的商人們也已經開始考慮為新王就任準備紀念品了。★
4,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_004,歡迎來到瓦春貝羅，尊貴的烏克拉瑪托大人的朋友！<hex:02100103>有什麼想問的事情嗎？★
5,TEXT_REGYOK6WACHUNPELO_00865_Q1_000_000,要問什麼呢？★
6,TEXT_REGYOK6WACHUNPELO_00865_A1_000_001,請告訴我關於你的事情
7,TEXT_REGYOK6WACHUNPELO_00865_A1_000_002,這裡是什麼地方？
8,TEXT_REGYOK6WACHUNPELO_00865_A1_000_003,取消★
9,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_010,我的丈夫是個旅行商人。<hex:02100103>在他四處奔波的時候，我則是非常積極地收集各種有用的資訊。★
10,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_011,光是讓丈夫帶回各地的資訊和商品，<hex:02100103>我的工作就是分享這裡發生的有趣故事。<hex:02100103>這就是我們身為夫妻的角色分工！★
11,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_020,這裡是「瓦春貝羅」。<hex:02100103>這個名字的意思是「帕爾帕爾族的家園」，<hex:02100103>指的就是我們生活的聚落。★
12,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_021,生活在這裡的人以商人為多，<hex:02100103>但也有從事麥斯卡爾製作或飼養羊駝的人。<hex:02100103>如果您感興趣的話，請務必去打聽一下。★
13,TEXT_REGYOK6WACHUNPELO_00865_LEBLU_000_022,剛剛聽說了一個消息，<hex:02100103>據說約卡夫伊族村落的瓦利卡爾曼達被解放了。<hex:02100103>這個集落可能也受到了一些損害呢……。★
