key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_001,……你挺強的嘛。<hex:02100103>如果對狩魔工作感興趣的話，<hex:02100103>或許有一天我們會再次相遇。★
1,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_002,嘿，你是來狩魔的嗎？<hex:02100103>身為受到博羅加兄認可的你，<hex:02100103>我可以和你分享我掌握的情報。★
2,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_Q1_000_000,要問什麼？
3,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_001,B級任務: 關於憤怒移動植物「瘋狂麥哲伊」★
4,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_002,B級任務：關於吸血惡獸「卓巴卡布拉」★
5,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_003,A級任務：關於無智慧賢樹「涅致希霍」★
6,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_004,A級任務：關於專制女王蜂「女王鷹」★
7,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_005,
8,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_A1_000_006,取消
9,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_010,嘿，你聽說過巨型麥哲伊嗎？<hex:02100103>它是一種類似龍舌蘭的移動植物，非常具攻擊性，<hex:02100103>它用鋸齒狀的葉子像鐮刀一樣擺動，是些棘手的傢伙。★
10,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_011,「瘋狂麥哲伊」這個名字是給其中特別的個體的。<hex:02100103>普通麥哲伊的壽命大約幾十年左右，<hex:02100103>每生一次花，完成繁殖後便枯萎……★
11,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_012,這傢伙即使開花後仍然倖存。<hex:02100103>不僅生命力強，還似乎變得更加兇猛……<hex:02100103>造成了大量犧牲，被列為討伐對象。★
12,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_020,你見過「血之薩克爾」嗎？<hex:02100103>是一種吸血鬼般的奇怪生物，<hex:02100103>據說來自這個世界之外，是些可怕的傢伙。★
13,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_021,卓巴卡布拉這個名字倒是挺古老的。<hex:02100103>據說有個叫特拉爾的怪物會吸血，<hex:02100103>在船員之間也傳開了一段時間。★
14,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_022,而如今，這個名字常被用來指那些實際造成人類死亡的危險個體。<hex:02100103>記住人類的滋味，就會一直獵殺人類……必須趕緊消滅。★
15,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_030,尼丘基霍……這個奇異的名字，<hex:02100103>在佩爾佩爾語中似乎是指「賢明的樹」。★
16,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_031,但是，我不認為它真的很聰明。<hex:02100103>一見到人類，就用像手杖一樣的樹枝猛烈地敲打，<hex:02100103>當地的牧童和商人甚至有人死於非命。★
17,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_032,而且看起來它是不朽的，無論多少次獵殺，它總會再度出現。<hex:02100103>有說邪靈附身於樹木，或是透過根將記憶轉移到其他樹木，<hex:02100103>有各種說法，但對我們來說就是獵殺而已。★
18,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_040,在這片大陸上，有一種叫作「塔蘭切拉鷹蜂」的殺人蜂。<hex:02100103>它們群居時，會培育新的女王，<hex:02100103>帶著一半的蜂群離開，擴張勢力。★
19,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_041,據船員的傳聞，這種殺人蜂似乎已經擴散到外國了。<hex:02100103>為了避免這種繁殖能力強大的殺人蜂增加，<hex:02100103>如果看到「<hex:024A23FF0AE5A5B3E78E8BE89C82FF16E382AFE382A4E383BCE383B3E3839BE383BCE382AF03>」，請儘早去狩獵它。★
20,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_042,不過，挑戰時要小心哦？<hex:02100103>因為它釋放出可以控制所有生物的費洛蒙……<hex:02100103>連人類也不例外。★
21,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_050,
22,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_051,
23,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_052,
24,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_053,
25,TEXT_CTSHNT70RISKYMOBURQOPACHA_00898_XAXRRUQ_000_054,
