key,4
#,Name
offset,0
int32,str
0,
1,
2,褪色：黑
3,褪色：白
4,簡易邊框：白
5,金屬邊框：銀
6,金屬邊框：金
7,日誌
8,簡易邊框：棕色
9,簡易邊框：金屬
10,古董
11,角花
12,騎士
13,戰士
14,暗黑騎士
15,絕槍戰士
16,白魔法師
17,學者
18,占星術士
19,賢者
20,武僧
21,龍騎士
22,忍者
23,武士
24,釤鐮客
25,吟遊詩人
26,機工士
27,舞者
28,黑魔法師
29,召喚師
30,赤魔法師
31,星極隊
32,靈極隊
33,第1賽季水晶衝突：王者
34,第1賽季水晶衝突：勇者
35,第1賽季水晶衝突：獲獎者
36,第1賽季水晶衝突：青銅
37,第1賽季水晶衝突：白銀
38,第1賽季水晶衝突：黃金
39,第1賽季水晶衝突：白金
40,第1賽季水晶衝突：鑽石
41,第1賽季水晶衝突：水晶
42,
43,
44,巴哈姆特絕境戰
45,究極神兵絕境戰
46,亞歷山大絕境戰
47,幻想龍詩絕境戰
48,第2賽季水晶衝突：王者
49,第2賽季水晶衝突：勇者
50,第2賽季水晶衝突：獲獎者
51,第2賽季水晶衝突：青銅
52,第2賽季水晶衝突：白銀
53,第2賽季水晶衝突：黃金
54,第2賽季水晶衝突：白金
55,第2賽季水晶衝突：鑽石
56,第2賽季水晶衝突：水晶
57,第3賽季水晶衝突：王者
58,第3賽季水晶衝突：勇者
59,第3賽季水晶衝突：獲獎者
60,第3賽季水晶衝突：青銅
61,第3賽季水晶衝突：白銀
62,第3賽季水晶衝突：黃金
63,第3賽季水晶衝突：白金
64,第3賽季水晶衝突：鑽石
65,第3賽季水晶衝突：水晶
66,水晶衝突：藍色
67,水晶衝突：紅色
68,多變迷宮：希拉狄哈水道
69,漫畫頁面
70,金屬邊框：拱形
71,膠卷
72,集中線
73,黑霧
74,黑色花邊
75,白色花邊
76,普通品質
77,優質
78,第4賽季水晶衝突：王者
79,第4賽季水晶衝突：勇者
80,第4賽季水晶衝突：獲獎者
81,第4賽季水晶衝突：水晶
82,第4賽季水晶衝突：鑽石
83,第4賽季水晶衝突：白金
84,第4賽季水晶衝突：黃金
85,第4賽季水晶衝突：白銀
86,第4賽季水晶衝突：青銅
87,第5賽季水晶衝突：王者
88,第5賽季水晶衝突：勇者
89,第5賽季水晶衝突：獲獎者
90,第5賽季水晶衝突：水晶
91,第5賽季水晶衝突：鑽石
92,第5賽季水晶衝突：白金
93,第5賽季水晶衝突：黃金
94,第5賽季水晶衝突：白銀
95,第5賽季水晶衝突：青銅
96,獵隼陣營
97,渡鴉陣營
98,歐米茄絕境驗證戰
99,第七星曆編年史：四聖獸奇譚
100,開拓無人島1
101,開拓無人島2
102,第6賽季水晶衝突：王者
103,第6賽季水晶衝突：勇者
104,第6賽季水晶衝突：獲獎者
105,第6賽季水晶衝突：水晶
106,第6賽季水晶衝突：鑽石
107,第6賽季水晶衝突：白金
108,第6賽季水晶衝突：黃金
109,第6賽季水晶衝突：白銀
110,第6賽季水晶衝突：青銅
111,第7賽季水晶衝突：王者
112,第7賽季水晶衝突：勇者
113,第7賽季水晶衝突：獲獎者
114,第7賽季水晶衝突：水晶
115,第7賽季水晶衝突：鑽石
116,第7賽季水晶衝突：白金
117,第7賽季水晶衝突：黃金
118,第7賽季水晶衝突：白銀
119,第7賽季水晶衝突：青銅
120,東方風外框1
121,東方風外框2
122,青魔法師
123,
124,多變迷宮：六根山
125,海釣愛好者
126,願者上鉤
127,運籌帷幄
128,
129,角力學校
130,九霄雲上
131,第8賽季水晶衝突：王者
132,第8賽季水晶衝突：勇者
133,第8賽季水晶衝突：獲獎者
134,第8賽季水晶衝突：水晶
135,第8賽季水晶衝突：鑽石
136,第8賽季水晶衝突：白金
137,第8賽季水晶衝突：黃金
138,第8賽季水晶衝突：白銀
139,第8賽季水晶衝突：青銅
140,第9賽季水晶衝突：王者
141,第9賽季水晶衝突：勇者
142,第9賽季水晶衝突：獲獎者
143,第9賽季水晶衝突：水晶
144,第9賽季水晶衝突：鑽石
145,第9賽季水晶衝突：白金
146,第9賽季水晶衝突：黃金
147,第9賽季水晶衝突：白銀
148,第9賽季水晶衝突：青銅
149,第10賽季水晶衝突：王者
150,第10賽季水晶衝突：勇者
151,第10賽季水晶衝突：獲獎者
152,第10賽季水晶衝突：水晶
153,第10賽季水晶衝突：鑽石
154,第10賽季水晶衝突：白金
155,第10賽季水晶衝突：黃金
156,第10賽季水晶衝突：白銀
157,第10賽季水晶衝突：青銅
158,艾歐澤亞神話
159,多變迷宮：阿羅阿羅島
160,天書奇談
161,幻巧拼圖
162,金碟巨豆中心1
163,金碟巨豆中心2
164,金碟巨豆中心3
165,
166,
167,
168,
169,
170,
