key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CMNDEFGLASSESEXCHANGE_00850_TALK_000_000,正在回收一些用作裝飾的眼鏡。<hex:02100103>如果您有的話，我們可以將這些眼鏡交換成更方便使用的眼鏡。★
1,TEXT_CMNDEFGLASSESEXCHANGE_00850_Q1_000_000,請問您要怎麼處理這些眼鏡呢？★
2,TEXT_CMNDEFGLASSESEXCHANGE_00850_A1_000_001,請您確認您已經回收眼鏡（並將其交換成面部配飾）。★
3,TEXT_CMNDEFGLASSESEXCHANGE_00850_A1_000_002,取消★
4,TEXT_CMNDEFGLASSESEXCHANGE_00850_SYSTEM_000_001,將列表中登記的眼鏡交換成<hex:02100103>同款式的面部配飾。★
5,TEXT_CMNDEFGLASSESEXCHANGE_00850_TALK_000_002,看來您沒有相應的眼鏡。<hex:02100103>如果您在其他地方入手，請告訴我。★
6,TEXT_CMNDEFGLASSESEXCHANGE_00850_TALK_000_003,看來您沒有相應的眼鏡。<hex:02100103>感謝您的協助。★
