key,9
#,Name
offset,0
int32,str
0,
1,光澤
2,四邊形
3,圓點
4,菱形
5,格紋
6,斜線
7,雙色
8,三角形
9,羊皮紙
10,角花
11,陰影
12,光彩
13,圓點
14,手冊
15,剪貼簿
16,魔法陣
17,羊皮紙
18,塗料
19,金屬看板
20,書籍
21,標籤
22,歡迎回來
23,金屬圓環
24,職業標籤：防護職業
25,職業標籤：進攻職業
26,職業標籤：治療職業
27,簡易邊框：棕色
28,簡易邊框：金屬
29,記事貼
30,剪貼簿
31,黑色
32,白色
33,寶石邊框（複雜）
34,寶石邊框（簡易）
35,利姆薩·羅敏薩
36,格里達尼亞
37,烏爾達哈
38,金屬
39,九宮幻卡EX
40,九宮幻卡
41,金幣
42,羽毛筆
43,貼紙
44,地圖
45,蝴蝶結
46,信件
47,音符
48,花束
49,記事貼
50,郵票
51,劍術師
52,斧術師
53,幻術師
54,格鬥家
55,槍術師
56,雙劍師
57,弓箭手
58,咒術師
59,秘術師
60,騎士
61,戰士
62,暗黑騎士
63,絕槍戰士
64,白魔法師
65,學者
66,占星術士
67,賢者
68,武僧
69,龍騎士
70,忍者
71,武士
72,釤鐮客
73,吟遊詩人
74,機工士
75,舞者
76,黑魔法師
77,召喚師
78,赤魔法師
79,青魔法師
80,刻木匠
81,鍛鐵匠
82,鑄甲匠
83,雕金匠
84,製革匠
85,裁衣匠
86,煉金術士
87,烹調師
88,採礦工
89,園藝工
90,捕魚人
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,巴哈姆特絕境戰
161,巴哈姆特絕境戰
162,巴哈姆特絕境戰
163,巴哈姆特絕境戰
164,究極神兵絕境戰
165,究極神兵絕境戰
166,究極神兵絕境戰
167,究極神兵絕境戰
168,亞歷山大絕境戰
169,亞歷山大絕境戰
170,亞歷山大絕境戰
171,亞歷山大絕境戰
172,幻想龍詩絕境戰
173,幻想龍詩絕境戰
174,幻想龍詩絕境戰
175,幻想龍詩絕境戰
176,多變迷宮：希拉狄哈水道
177,多變迷宮：希拉狄哈水道
178,
179,友好部族任務：奧密克戎族
180,咖啡廳
181,方塊
182,閃閃發光
183,豎條紋
184,橫條紋
185,心形
186,折線條紋
187,麻葉花紋
188,格子花紋
189,水晶
190,東方樣式
191,折線
192,膠帶紙：暖色
193,膠帶紙：冷色
194,咖啡廳
195,吉他撥片
196,小提琴
197,寵物：自走人偶001號
198,寵物：巧兒陸行鳥
199,寵物：爆彈仔
200,寵物：貝希摩斯寶寶
201,寵物：魔界花骨朵
202,寵物：灰塵兔
203,寵物：幼小仙人掌
204,寵物：小殼蟹
205,寵物：發芽小猩猩
206,寵物：惡魔磚塊
207,寵物：手指游標
208,寵物：盧恩人玩偶
209,寵物：小狼
210,寵物：長鬚小豹
211,寵物：冬貝利玩偶
212,寵物：魔法掃帚
213,寵物：莫古力娃娃
214,寵物：食果花鼠
215,寵物：貓小胖
216,寵物：河童童
217,寵物：追蹤系統
218,寵物：猴面雀兒
219,寵物：葉小妖妖
220,寵物：獺獺
221,寵物：迷你鯰魚精
222,寵物：迷你庫洛
223,寵物：豆豆柴
224,寵物：隆卡的水蛇？
225,寵物：大河狸
226,寵物：鯊魚指揮官
227,寵物：凱特西娃娃
228,寵物：青鳥
229,寵物：渡渡鳥雛
230,寵物：幼碧企鵝
231,寵物：睡羊羊
232,寵物：小小蔓德拉
233,寵物：不說話的蜂鳥
234,寵物：夢魔娃娃
235,寵物：小小吉爾伽美什
236,寵物：洋蔥王子
237,寵物：茄子騎士
238,寵物：蒜頭明星
239,寵物：番茄國王
240,寵物：蔓德拉王后
241,寵物：迷你奧爾特羅斯
242,寵物：恩奇都
243,寵物：小小阿托莫斯
244,寵物：風箏小貓
245,寵物：小熊貓
246,寵物：企鵝王子
247,寵物：波奇
248,寵物：疣豬小子
249,寵物：旅雀兒
250,寵物：迷你奇美拉
251,寵物：小雪童子
252,寵物：小妖狐
253,寵物：鯨頭鸛
254,寵物：豬小仙
255,寵物：沙狐
256,寵物：莫莫拉·莫拉！！！
257,友好部族任務：仙子族
258,友好部族任務：奇塔利族
259,友好部族任務：矮人族
260,友好部族任務：悌陽象族
261,友好部族任務：兔兔族
262,歐米茄絕境驗證戰
263,歐米茄絕境驗證戰
264,歐米茄絕境驗證戰
265,歐米茄絕境驗證戰
266,寵物：胖兒陸行鳥
267,寵物：黏液膠
268,寵物：奧猴寶寶
269,寵物：小腳雪人
270,寵物：淺瞳
271,寵物：藍閃蝶
272,寵物：波羅·羅格
273,寵物：水小滴
274,寵物：分福
275,寵物：小刺蝟
276,寵物：鼯鼠
277,寵物：吉多
