key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESHLX2024TRANSFORM_00855_TRANSFORMHLX2024_000_000,啾啾啾……我是擅長「變身魔術」的無名小惡魔。<hex:02100103>我將用我最厲害的力量，讓你腦海中想到的人物，<hex:02100103>變身呈現出來吧！★
1,TEXT_FESHLX2024TRANSFORM_00855_TRANSFORMHLX2024_000_001,來吧，從你過去冒險中遇到的人中，<hex:02100103>選擇給你留下強烈印象的那位來想像吧！★
2,TEXT_FESHLX2024TRANSFORM_00855_TRANSFORMHLX2024_000_002,好的，那麼，請回想起你過去的冒險！<hex:02100103>啾啾啾……那麼，你看到了什麼呢～？★
3,TEXT_FESHLX2024TRANSFORM_00855_Q1_000_000,如何回答呢？★
4,TEXT_FESHLX2024TRANSFORM_00855_A1_000_001,新生的冒險★
5,TEXT_FESHLX2024TRANSFORM_00855_A1_000_002,蒼天的冒險★
6,TEXT_FESHLX2024TRANSFORM_00855_TRANSFORMHLX2024_000_003,那麼，就從你在這樣的冒險中遇到的人中，<hex:02100103>選擇給你留下強烈印象的那位來想像吧！★
7,TEXT_FESHLX2024TRANSFORM_00855_Q2_000_000,如何回答呢？★
8,TEXT_FESHLX2024TRANSFORM_00855_A2_000_001,溫和中帶著堅定內心的女性角尊★
9,TEXT_FESHLX2024TRANSFORM_00855_A2_000_002,擁有堅不可摧的信念和充滿自信的露嘉蒂女性★
10,TEXT_FESHLX2024TRANSFORM_00855_A2_000_003,勇猛奮戰，充滿戰鬥意志的休蘭男性★
11,TEXT_FESHLX2024TRANSFORM_00855_A2_000_004,粉紅色的頭髮可愛動人，高貴的拉拉菲爾女性★
12,TEXT_FESHLX2024TRANSFORM_00855_A2_000_005,精通魔導技術，受部下敬重的加里亞男性★
13,TEXT_FESHLX2024TRANSFORM_00855_A2_000_006,野心勃勃、難以捉摸的加里亞男性★
14,TEXT_FESHLX2024TRANSFORM_00855_A2_100_006,被晨曦金庫番迷戀的技術師拉拉菲爾男性★
15,TEXT_FESHLX2024TRANSFORM_00855_A2_150_006,與夥伴一起逃離帝國的技術師露嘉蒂男性★
16,TEXT_FESHLX2024TRANSFORM_00855_A2_000_007,擁有紅色頭髮和紅色眼睛的米科特男性★
17,TEXT_FESHLX2024TRANSFORM_00855_A2_100_008,引領秘密結社的盟主，人類女性★
18,TEXT_FESHLX2024TRANSFORM_00855_A2_100_009,身為屬州人，卻擔任陣營隊長的盧加丁男性★
19,TEXT_FESHLX2024TRANSFORM_00855_A2_100_010,以歌姬之名聲譽遠播，迷人的米科特女性★
20,TEXT_FESHLX2024TRANSFORM_00855_A2_100_011,大膽無畏、迷人的紳士人類男性★
21,TEXT_FESHLX2024TRANSFORM_00855_A2_100_012,擔任紳士偵探的助手，米科特女性★
22,TEXT_FESHLX2024TRANSFORM_00855_A2_100_013,展開嶄新征程的人類男性★
23,TEXT_FESHLX2024TRANSFORM_00855_A2_100_014,擔任秘密結社保管庫員的拉拉菲爾女性★
24,TEXT_FESHLX2024TRANSFORM_00855_A2_100_015,被譽為艾歐貞亮最強的鍛金師，人類男性★
25,TEXT_FESHLX2024TRANSFORM_00855_A2_000_009,擁有黑髮、蒼藍眼擁有堅定意志的厄倫男性★
26,TEXT_FESHLX2024TRANSFORM_00855_A2_000_010,正義感強烈且英姿飒爽的混血厄倫女性★
27,TEXT_FESHLX2024TRANSFORM_00855_A2_000_011,穿著黃色耳掛長袍的拉拉菲爾女性★
28,TEXT_FESHLX2024TRANSFORM_00855_A2_000_012,擁有罕見槍法並自豪的高傲厄倫男性★
29,TEXT_FESHLX2024TRANSFORM_00855_A2_000_013,帶領空賊並熱愛自由的人類男性★
30,TEXT_FESHLX2024TRANSFORM_00855_A2_200_013,擔任自由夥伴的掃尾者，空賊人類女性★
31,TEXT_FESHLX2024TRANSFORM_00855_A2_250_013,擔任空賊技術負責人的拉拉菲爾女性★
32,TEXT_FESHLX2024TRANSFORM_00855_A2_000_014,好閒傳言的高貴厄倫男性★
33,TEXT_FESHLX2024TRANSFORM_00855_A2_000_015,適合蒼天的人類男性★
34,TEXT_FESHLX2024TRANSFORM_00855_A2_000_025,取消★
35,TEXT_FESHLX2024TRANSFORM_00855_TRANSFORMHLX2024_000_004,咔咔咔……看到了，看到了！<hex:02100103>那麼，現在最期待的，我要施展特別的魔術了哦！★
36,TEXT_FESHLX2024TRANSFORM_00855_SYSTEM_000_005,要解除「變身狀態」時，可以使用專用動作「解除變身」，<hex:02100103>然後就能回復原本的狀態。★
37,TEXT_FESHLX2024TRANSFORM_00855_TRANSFORMHLX2024_000_010,哎呀……你，真的是派對的邀請客人嗎？<hex:02100103>很抱歉，但我的「變身奇術」只能對正式的邀請客人施展。★
