key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSETCVOYAGERMOOGLE_00566_TALK_ACTOR,●★未使用★●
1,TEXT_CTSETCVOYAGERMOOGLE_00566_VOYAGERMOOGLE_00001,莫古為大家提供旅途中找到的好東西庫啵！<hex:02100103>不過很抱歉，現在還在準備中庫啵……
2,TEXT_CTSETCVOYAGERMOOGLE_00566_Q1_000_000,要做什麼？
3,TEXT_CTSETCVOYAGERMOOGLE_00566_A1_000_000,交換稀少神典石
4,TEXT_CTSETCVOYAGERMOOGLE_00566_A2_000_000,
5,TEXT_CTSETCVOYAGERMOOGLE_00566_MOGGUIDEBOOK_00001,
6,TEXT_CTSETCVOYAGERMOOGLE_00566_MOGGUIDEBOOK_00002,
7,TEXT_CTSETCVOYAGERMOOGLE_00566_MOGGUIDEBOOK_00003,
